X,Y,id,state_code_2021,state_name_2021,lga_code_2024,lga_name_2024,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012,erp_2013,erp_2014,erp_2015,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_change_number_2023_24,erp_change_per_cent_2023_24,area_km2,pop_density_2024_people_per_km2,births_2021_22,deaths_2021_22,natural_increase_2021_22,internal_arrivals_2021_22,internal_departures_2021_22,net_internal_migration_2021_22,overseas_arrivals_2021_22,overseas_departures_2021_22,net_overseas_migration_2021_22,births_2022_23,deaths_2022_23,natural_increase_2022_23,internal_arrivals_2022_23,internal_departures_2022_23,net_internal_migration_2022_23,overseas_arrivals_2022_23,overseas_departures_2022_23,net_overseas_migration_2022_23,births_2023_24,deaths_2023_24,natural_increase_2023_24,internal_arrivals_2023_24,internal_departures_2023_24,net_internal_migration_2023_24,overseas_arrivals_2023_24,overseas_departures_2023_24,net_overseas_migration_2023_24,green_space_by_LGA_Green_space_ha,pop_density,Green_Pct
0,0,"42","1",New South Wales,"12870",Federation,"12121","12141","12184","12237","12330","12497","12479","12468","12515","12520","12509","12510","12508","12499","12470","12445","12509","12559","12627","12726","12822","12852","12940","13075","135","1.0433","5684.9253","2.2999","121","168","-47","1072","1020","52","45","20","25","112","168","-56","920","817","103","58","17","41","133","164","-31","997","864","133","52","19","33",,"2.29994227012974",
0,0,"43","1",New South Wales,"12900",Forbes,"10062","9995","9907","9744","9610","9540","9573","9526","9562","9495","9469","9529","9608","9698","9750","9817","9725","9664","9590","9502","9385","9338","9299","9295","-4","-0.043","4710.128","1.9734","128","105","23","574","658","-84","25","11","14","134","104","30","469","561","-92","32","9","23","111","124","-13","524","534","-10","28","9","19",,"1.97340709212149",
0,0,"44","1",New South Wales,"12930",Georges River,"125777","126520","127183","128176","129490","130586","132751","135287","137979","140040","141726","144159","146604","148882","151069","153161","155276","156225","156510","155919","152800","153267","158016","161593","3577","2.2637","38.3375","4215.011","1635","1050","585","9542","12135","-2593","4679","2204","2475","1434","1069","365","7318","9212","-1894","8008","1730","6278","1450","1009","441","8060","9747","-1687","6720","1897","4823",,"4215.01141180307",
0,0,"45","1",New South Wales,"12950",Gilgandra,"4761","4730","4706","4660","4652","4618","4532","4471","4498","4529","4515","4464","4428","4382","4342","4298","4304","4300","4323","4327","4318","4298","4309","4305","-4","-0.0928","4831.5057","0.891","77","56","21","297","347","-50","17","8","9","66","61","5","244","255","-11","24","7","17","58","49","9","227","253","-26","20","7","13",,"0.891026579974851",
0,0,"46","1",New South Wales,"13010",Glen Innes Severn,"8818","8848","8870","8876","8907","8987","8919","8907","8926","8939","8911","8905","8909","8919","8926","8934","8937","8941","8947","8946","8925","8944","8989","8978","-11","-0.1224","5479.977","1.6383","73","100","-27","797","764","33","24","11","13","91","106","-15","612","575","37","32","9","23","92","105","-13","552","569","-17","28","9","19",,"1.63832804407756",
0,0,"47","1",New South Wales,"13310",Goulburn Mulwaree,"26401","26526","26576","26559","26615","26695","26803","27166","27654","28083","28363","28730","29187","29486","29815","30261","30642","31072","31490","31934","32150","32428","32707","33112","405","1.2383","3220.0796","10.283","361","306","55","2370","2280","90","251","118","133","421","366","55","1846","1867","-21","337","92","245","364","312","52","1827","1710","117","337","101","236",,"10.2829756133979",
0,0,"48","1",New South Wales,"13340",Greater Hume,"10455","10331","10189","10126","10036","9999","9985","9988","10009","10060","10072","10161","10220","10318","10441","10519","10601","10701","10801","10931","11109","11266","11443","11582","139","1.2147","5749.3875","2.0145","116","88","28","882","773","109","37","17","20","124","116","8","738","603","135","48","14","34","129","100","29","744","661","83","42","15","27",,"2.01447545499412",
0,0,"49","1",New South Wales,"13450",Griffith,"24412","24377","24277","24235","24329","24450","24583","24817","25100","25264","25395","25614","25705","25942","26171","26356","26653","26896","27102","27249","27195","27015","27126","27340","214","0.7889","1639.1732","16.6791","415","202","213","1214","1830","-616","422","199","223","403","236","167","987","1452","-465","563","154","409","414","194","220","1001","1360","-359","522","169","353",,"16.6791404349461",
0,0,"50","1",New South Wales,"13550",Gunnedah,"12306","12193","12036","11892","11792","11782","11879","11987","12151","12344","12519","12514","12481","12468","12447","12491","12662","12799","12921","13024","13088","13143","13278","13392","114","0.8586","4987.0295","2.6854","199","138","61","1092","1128","-36","57","27","30","170","103","67","953","942","11","77","20","57","212","116","96","891","917","-26","67","23","44",,"2.68536610822134",
0,0,"51","1",New South Wales,"13660",Gwydir,"5716","5652","5573","5492","5442","5428","5307","5210","5167","5131","5102","5172","5218","5250","5302","5326","5244","5191","5124","5019","4912","4923","4940","4893","-47","-0.9514","9259.6544","0.5284","52","70","-18","436","411","25","7","3","4","51","75","-24","360","326","34","9","2","7","44","89","-45","324","332","-8","8","2","6",,"0.528421449508958",
0,0,"52","1",New South Wales,"13800",Hawkesbury,"62412","62515","62530","62032","61698","61725","62262","63066","63618","63982","64353","64670","65145","65503","65890","66346","66708","66989","67244","67578","67605","67862","68144","68704","560","0.8218","2775.1378","24.757","948","487","461","5139","5503","-364","300","140","160","862","449","413","3841","4352","-511","490","110","380","816","452","364","4053","4174","-121","438","121","317",,"24.7569688251156",
0,0,"53","1",New South Wales,"13850",Hay,"3620","3616","3582","3538","3512","3483","3394","3292","3209","3153","3085","3029","3016","3005","2994","2984","2978","2958","2933","2910","2885","2834","2829","2861","32","1.1311","11325.9324","0.2526","31","39","-8","161","217","-56","24","11","13","30","31","-1","132","159","-27","32","9","23","40","41","-1","189","175","14","28","9","19",,"0.252606134219908",
0,0,"54","1",New South Wales,"13910",Hilltops,"18014","18022","18031","18060","18146","18213","18266","18337","18467","18639","18793","18807","18783","18776","18760","18756","18906","19019","19131","19205","19223","19238","19253","19300","47","0.2441","7140.8865","2.7027","214","219","-5","1276","1298","-22","80","38","42","227","226","1","991","1054","-63","106","29","77","249","184","65","926","1021","-95","109","32","77",,"2.70274566050028",
0,0,"55","1",New South Wales,"14000",Hornsby,"132644","134068","134991","135567","135974","136162","137694","139436","141117","142549","143273","143754","144458","145262","146147","147385","149601","151809","153216","154037","152263","151771","154068","154834","766","0.4972","455.0374","340.2665","1337","1101","236","10548","12627","-2079","3261","1910","1351","1176","1096","80","8039","9496","-1457","5388","1714","3674","1097","1048","49","8091","10258","-2167","4760","1876","2884",,"340.266536333057",
0,0,"56","1",New South Wales,"14100",Hunters Hill,"13296","13412","13512","13631","13636","13662","13716","13742","13835","13854","13897","14070","14242","14428","14540","14656","14621","14563","14427","14269","13596","13924","14038","14062","24","0.171","5.7169","2459.725","102","194","-92","1727","1380","347","227","154","73","79","188","-109","1068","1069","-1","364","140","224","92","167","-75","980","1061","-81","333","153","180",,"2459.72467596075",
0,0,"57","1",New South Wales,"14170",Inner West,"166693","166368","166127","165989","166486","167602","170481","173375","176106","178395","180301","182041","184297","186495","188711","191194","192275","192661","191965","190035","183839","183153","188316","190939","2623","1.3929","35.2115","5422.632","2320","1207","1113","16263","20462","-4199","5692","3292","2400","1827","1180","647","12862","14689","-1827","9463","3120","6343","1904","1045","859","12034","15017","-2983","8168","3421","4747",,"5422.63181063005",
0,0,"58","1",New South Wales,"14220",Inverell,"16784","16867","16852","16822","16874","16947","17104","17253","17445","17591","17689","17702","17715","17746","17764","17815","17840","17895","17974","17985","17920","17965","18056","18080","24","0.1329","9404.7564","1.9224","251","180","71","1269","1357","-88","116","54","62","219","204","15","1066","1100","-34","153","43","110","228","205","23","985","1072","-87","134","46","88",,"1.92243150497763",
0,0,"59","1",New South Wales,"14300",Junee,"5859","5869","5861","5854","5882","5943","5942","5978","6054","6105","6132","6135","6213","6283","6336","6414","6441","6446","6452","6463","6454","6465","6520","6458","-62","-0.9509","2030.0222","3.1812","78","60","18","565","614","-49","78","36","42","69","52","17","415","453","-38","104","28","76","54","52","2","369","492","-123","90","31","59",,"3.18124599819647",
0,0,"60","1",New South Wales,"14350",Kempsey,"27164","27327","27466","27608","27936","28032","28193","28431","28775","28960","29128","29223","29284","29351","29379","29431","29770","30080","30347","30602","30828","31178","31451","31718","267","0.8489","3375.6704","9.3961","381","398","-17","2473","2186","287","148","68","80","377","393","-16","1763","1616","147","196","54","142","312","367","-55","1819","1611","208","173","59","114",,"9.39605952050295",
0,0,"61","1",New South Wales,"14400",Kiama,"19793","19841","19836","19784","19690","19626","19809","19933","20219","20522","20806","21004","21262","21612","21890","22110","22299","22479","22711","22873","22970","22964","23001","23173","172","0.7478","257.6638","89.935","175","200","-25","1793","1865","-72","172","81","91","174","207","-33","1258","1355","-97","230","63","167","154","202","-48","1377","1290","87","202","69","133",,"89.935023856669",
